subject,hemi,ROI,fwhm,fwhm_upper,fwhm_lower,fwhm_central5,fwhm_central10,fwhm_contra,fwhm_ipsi,fwhm_upperContra,fwhm_lowerContra,fwhm_upperIpsi,fwhm_lowerIpsi,CoM_x,CoM_y,centerX,centerY,includedvox,totalvox,proportion20
TH,lh,CoS_places,25.44010686,51.05222136,48.94777864,15.1208106,63.83476228,100,0,51.05222136,48.94777864,0,0,10.83562469,2.566972256,7.899514019,0.116822716,333,1281,0.265417642
TL24,lh,CoS_places,22.76267528,79.86381323,20.13618677,0,33.17120623,100,0,79.86381323,20.13618677,0,0,10.35671902,3.094015837,10.68189318,2.769011273,119,326,0.365030675
JG24,lh,CoS_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KG22,lh,CoS_places,23.64374518,52.26449275,47.73550725,5.525362319,51.53985507,100,0,52.26449275,47.73550725,0,0,7.783695698,5.061882973,9.25395324,0.233508053,300,431,0.69837587
VN26,lh,CoS_places,18.19656325,98.94419306,1.055806938,0,27.14932127,100,0,98.94419306,1.055806938,0,0,9.312069893,5.383494854,10.56211108,4.259427397,289,342,0.84502924
DRS22,lh,CoS_places,31.53242554,50.12735609,49.87264391,32.552216,81.96637799,86.80590932,0,43.50483953,43.30106979,6.622516556,6.571574121,6.962239742,4.446631432,4.877200081,0.013681816,234,418,0.562200957
MBA24,lh,CoS_places,26.55966299,78.13620072,21.86379928,6.093189964,45.51971326,100,0,78.13620072,21.86379928,0,0,11.51287651,4.874076843,9.227134323,3.027701809,145,216,0.671296296
DF,lh,CoS_places,24.95367839,82.49185668,17.50814332,3.745928339,44.13680782,100,0,82.49185668,17.50814332,0,0,12.68667412,3.612359285,9.343130972,3.36014915,156,258,0.604651163
EM,mh,IOG_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,IPS_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,IPSl_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,IPSm_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,ITG_limbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,LOS_limbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,MOG_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,mSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,MTG_limbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,STS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,lh,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,zh,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,rh,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,lh,blank1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,mh,blank1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,zh,blank1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,rh,blank1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
