sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
STM10/STM10_190903_21220_time_03_1,PHC,rh,-8.794108555,5.897265919,9.528672308,4.764336154,14.247
STM10/STM10_190903_21220_time_03_1,pFus_faces,rh,-4.075041288,0.593692793,8.097597031,4.048798515,9.477779
STM10/STM10_190903_21220_time_03_1,CoS_places,rh,-6.566063122,3.359237509,9.280745799,4.640372899,14.09696
STM10/STM10_190903_21220_time_03_1,mFus_faces,rh,-2.724960093,-0.329139593,4.084755978,2.042377989,12.44277
STM10/STM10_190903_21220_time_03_1,OTS_bodies,rh,-2.548327573,-0.410380842,3.292693297,1.646346648,11.89817
DAPA10/DAPA10_191012_21490_time_04_1,V1,rh,-5.152932537,0.337842096,15.63284878,7.816424391,3.127428
DAPA10/DAPA10_191012_21490_time_04_1,V2,rh,-7.15713602,0.150926912,14.86975332,7.434876659,3.84602
DAPA10/DAPA10_191012_21490_time_04_1,V3,rh,-5.838931911,-0.727970586,15.33488956,7.667444779,4.742478
DAPA10/DAPA10_191012_21490_time_04_1,hV4,rh,-5.618215862,0.245851164,13.01084407,6.505422034,6.308679
DAPA10/DAPA10_191012_21490_time_04_1,VO,rh,-5.931984409,-1.268224433,10.40374332,5.201871659,7.722517
DAPA10/DAPA10_191012_21490_time_04_1,PHC,rh,-9.202045634,0.559321647,8.428024001,4.214012,9.317561
DAPA10/DAPA10_191012_21490_time_04_1,pFus_faces,rh,-4.477712537,0.682737665,4.675357474,2.337678737,8.722358
DAPA10/DAPA10_191012_21490_time_04_1,pOTS_words,rh,-7.328918133,-2.731473121,11.41104755,5.705523775,12.73056
DAPA10/DAPA10_191012_21490_time_04_1,CoS_places,rh,-6.967305079,2.367103582,7.808314906,3.904157453,8.895321
DAPA10/DAPA10_191012_21490_time_04_1,mFus_faces,rh,-4.900790513,1.642466111,5.766368566,2.883184283,8.926558
DAPA10/DAPA10_191012_21490_time_04_1,OTS_bodies,rh,-3.714280609,0.617894425,8.590892034,4.295446017,7.263788
DAPA10/DAPA10_191012_21490_time_04_1,mOTS_words,rh,-5.895341552,-1.67141728,6.030143637,3.015071819,8.47713
CGSA11/CGSA11_190921_21340_time_04_1,V1,rh,-3.908561917,0.455364008,16.08724619,8.043623095,2.633405
CGSA11/CGSA11_190921_21340_time_04_1,V2,rh,-5.28477182,-0.846889402,17.16178302,8.580891508,3.61987
CGSA11/CGSA11_190921_21340_time_04_1,V3,rh,-5.017070231,-0.391296909,15.16184539,7.580922695,4.54388
CGSA11/CGSA11_190921_21340_time_04_1,hV4,rh,-5.095212641,-1.46884308,6.009467472,3.004733736,5.893364
CGSA11/CGSA11_190921_21340_time_04_1,VO,rh,-7.965185687,-1.545370216,11.14431437,5.572157187,7.981295
CGSA11/CGSA11_190921_21340_time_04_1,PHC,rh,-9.471223449,0.673786299,10.34650639,5.173253195,11.38348
CGSA11/CGSA11_190921_21340_time_04_1,pFus_faces,rh,-4.556240683,-6.098579236,6.006378834,3.003189417,10.23327
CGSA11/CGSA11_190921_21340_time_04_1,pOTS_words,rh,-3.70858744,-3.591232681,1.369475469,0.684737735,8.810691
CGSA11/CGSA11_190921_21340_time_04_1,CoS_places,rh,-8.376181615,-0.666325846,7.458526474,3.729263237,10.17009
CGSA11/CGSA11_190921_21340_time_04_1,mFus_faces,rh,-4.413761425,-4.285313285,4.967126832,2.483563416,6.572168
CGSA11/CGSA11_190921_21340_time_04_1,OTS_bodies,rh,-5.306047317,-6.776965864,4.385769492,2.192884746,9.097007
OS12/OS12_190725_20947_time_06_1,V1,rh,-7.152374538,-1.094404841,13.8788827,6.939441352,2.512405
OS12/OS12_190725_20947_time_06_1,V2,rh,-6.776182563,-2.776964199,11.88768235,5.943841175,2.919644
OS12/OS12_190725_20947_time_06_1,V3,rh,-6.580947585,1.448512789,17.92534558,8.962672792,5.327166
OS12/OS12_190725_20947_time_06_1,hV4,rh,-6.592456505,-1.341343369,8.722196514,4.361098257,8.130877
OS12/OS12_190725_20947_time_06_1,VO,rh,-8.861312542,1.754091504,13.37073882,6.685369408,12.20613
