sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
DRS22,IPSl_places,lh,13.18015271,5.841265062,11.69862438,5.84931219,19.78144
MBA24,IPSl_places,lh,9.350152518,6.122454668,6.348510452,3.174255226,12.9253
DF,IPSl_places,lh,7.47111028,4.025073087,10.28506362,5.142531812,10.86365
CLC06/CLC06_190912_21275_time_04_1,IPSm_places,lh,8.282123685,8.938017339,2.332564111,1.166282056,7.795495
ED07/ED07_190914_21286_time_04_1,IPSm_places,lh,10.90781097,-0.576327334,8.45133956,4.22566978,11.18185
ENK05/ENK05_191208_21930_time_04_1,IPSm_places,lh,8.354060066,7.194549311,6.197445638,3.098722819,7.766438
INW06/INW06_191103_21656_time_04_1,IPSm_places,lh,7.247422955,-1.796189078,6.16494443,3.082472215,9.830194
RJ09/RJ09_190914_21289_time_04_1,IPSm_places,lh,10.24314751,9.233245801,6.093611265,3.046805632,10.16563
AOK07/AOK07_191207_21927_time_04_1,IPSm_places,lh,7.058654512,2.090841174,8.374109757,4.187054879,6.227682
MDT09/MDT09_191006_21450_time_03_1,IPSm_places,lh,6.18830792,7.62434252,7.446417991,3.723208996,8.200736
DAPA10/DAPA10_191012_21490_time_04_1,IPSm_places,lh,6.025258237,8.382437386,7.315408124,3.657704062,7.570683
CGSA11/CGSA11_190921_21340_time_04_1,IPSm_places,lh,6.847531078,2.336159132,8.123436313,4.061718157,10.96815
OS12/OS12_190725_20947_time_06_1,IPSm_places,lh,6.954007853,4.18343549,6.134706325,3.067353163,15.6467
CS22,IPSm_places,lh,11.82963696,9.337300905,5.797347056,2.898673528,9.374752
EM,IPSm_places,lh,9.158452985,6.008248273,20.19312518,10.09656259,9.945696
ES,IPSm_places,lh,9.651539309,10.59827879,6.634188458,3.317094229,8.938546
JEW23,IPSm_places,lh,11.59818721,-2.34230748,18.16101091,9.080505457,9.756578
JP23,IPSm_places,lh,7.195939468,-0.588926393,6.244404309,3.122202155,7.683606
JW,IPSm_places,lh,11.78412468,-5.344700844,23.59415658,11.79707829,10.53796
KM25,IPSm_places,lh,3.413768285,1.380037161,11.33577899,5.667889495,9.033308
MG,IPSm_places,lh,7.114966297,-1.636826621,5.354703415,2.677351708,9.225864
MJH25,IPSm_places,lh,9.195641113,-10.13421673,5.121780084,2.560890042,9.657297
MW23,IPSm_places,lh,6.241265322,4.912041263,11.09407939,5.547039694,6.511503
NAV22,IPSm_places,lh,8.020501345,-2.413796832,15.18031769,7.590158845,8.934011
NC24,IPSm_places,lh,10.17523487,9.148102877,6.378856431,3.189428215,9.999956
SP,IPSm_places,lh,7.54476967,5.914380796,6.572777564,3.286388782,7.977057
ST25,IPSm_places,lh,11.63225674,7.052938058,6.175023262,3.087511631,8.336186
TH,IPSm_places,lh,8.797501309,2.542335187,7.552609489,3.776304745,11.0733
MSH28,IPSm_places,lh,11.77935424,12.79683699,3.303019683,1.651509841,11.24927
VN26,IPSm_places,lh,9.735837631,4.576400332,8.593829239,4.296914619,9.068765
DRS22,IPSm_places,lh,9.179378251,7.464745947,9.117491307,4.558745653,8.824144
MBA24,IPSm_places,lh,5.544154423,-3.245557059,5.217755847,2.608877923,2.999304
DF,IPSm_places,lh,8.14750352,5.726657495,6.485263606,3.242631803,7.632333
ENK05/ENK05_190317_19993_time_03_1,ITG_limbs,lh,14.21115983,-5.777765674,8.319074603,4.159537302,21.49314
ED07/ED07_190914_21286_time_04_1,ITG_limbs,lh,8.528033638,-5.538654504,12.7167444,6.358372202,12.5
ENK05/ENK05_191208_21930_time_04_1,ITG_limbs,lh,14.38925814,1.396296559,13.3941245,6.697062248,18.76856
INW06/INW06_191103_21656_time_04_1,ITG_limbs,lh,7.070958351,-8.276999004,6.613582226,3.306791113,9.929877
AOK07/AOK07_191207_21927_time_04_1,ITG_limbs,lh,10.48707204,2.714921995,8.717615014,4.358807507,21.42378
GEJA09/GEJA09_190921_21343_time_04_1,ITG_limbs,lh,7.435575709,-3.887357279,16.62918415,8.314592074,35.97083
MDT09/MDT09_191006_21450_time_03_1,ITG_limbs,lh,7.574197418,-2.824262671,14.58856842,7.294284209,16.35685
DAPA10/DAPA10_190112_19476_time_03_1,ITG_limbs,lh,10.62586992,-5.025210961,9.256328968,4.628164484,11.40129
STM10/STM10_190903_21220_time_03_1,ITG_limbs,lh,4.715950766,-0.309325492,5.580140955,2.790070478,7.904753
DAPA10/DAPA10_191012_21490_time_04_1,ITG_limbs,lh,11.40284182,-1.782362942,12.59928633,6.299643166,11.87578
CGSA11/CGSA11_190921_21340_time_04_1,ITG_limbs,lh,5.365048415,-3.004998444,9.393217797,4.696608898,24.92763
CR24,ITG_limbs,lh,15.8447193,-5.043812222,6.792991548,3.396495774,21.39303
CS22,ITG_limbs,lh,10.20823907,-1.746350005,7.886245046,3.943122523,9.022123
EM,ITG_limbs,lh,7.9004306,-4.171217138,12.24582497,6.122912485,10.94631
GB23,ITG_limbs,lh,9.124840858,2.305666186,11.32195133,5.660975665,9.744021
JEW23,ITG_limbs,lh,9.353317064,-8.532941795,10.86279263,5.431396315,38.54103
JP23,ITG_limbs,lh,5.834704011,-3.21573741,6.690629708,3.345314854,11.29328
KM25,ITG_limbs,lh,6.977776128,10.26453288,8.44203376,4.22101688,12.30403
MG,ITG_limbs,lh,8.109636996,-2.469257134,10.32139175,5.160695874,12.79471
MN,ITG_limbs,lh,8.690307676,-1.163994109,11.80095362,5.900476811,10.34461
MW23,ITG_limbs,lh,15.4607397,-1.41719135,11.43975815,5.719879074,20.4246
MZ23,ITG_limbs,lh,14.15915789,-6.880205003,4.623778333,2.311889166,22.36875
NAV22,ITG_limbs,lh,0.457015494,5.434360044,11.70262389,5.851311944,122.3901
NC24,ITG_limbs,lh,10.29221764,2.441623682,11.98176769,5.990883843,13.39749
SP,ITG_limbs,lh,8.855129752,5.681312731,12.54021706,6.270108531,19.73795
ST25,ITG_limbs,lh,8.81886638,-1.640172539,9.726766234,4.863383117,13.99943
TH,ITG_limbs,lh,-4.714099556,-5.929683208,10.65541693,5.327708466,61.02573
TL24,ITG_limbs,lh,11.49992088,-1.583788276,9.246133948,4.623066974,11.98771
MSH28,ITG_limbs,lh,9.793260151,-5.230246121,6.315136352,3.157568176,11.42918
VN26,ITG_limbs,lh,10.8485871,-4.695888534,11.4595577,5.729778848,11.2434
DRS22,ITG_limbs,lh,3.201608881,3.019952591,12.70830102,6.354150511,15.18455
MBA24,ITG_limbs,lh,9.058708918,-4.197799022,8.467310876,4.233655438,11.91055
DF,ITG_limbs,lh,8.932138663,-3.574265565,13.997018,6.998509,9.160583
ENK05/ENK05_190317_19993_time_03_1,LOS_limbs,lh,11.89741719,-3.493267285,11.88926319,5.944631594,16.00642
ED07/ED07_190914_21286_time_04_1,LOS_limbs,lh,11.66072796,-6.436557204,6.167122592,3.083561296,8.94301
ENK05/ENK05_191208_21930_time_04_1,LOS_limbs,lh,11.97300465,-2.770154276,13.40473708,6.702368538,15.66835
INW06/INW06_191103_21656_time_04_1,LOS_limbs,lh,6.50698707,-6.973016681,7.627762579,3.813881289,9.047207
RJ09/RJ09_190914_21289_time_04_1,LOS_limbs,lh,16.1335902,1.292606697,11.86859373,5.934296865,26.2894
AOK07/AOK07_191207_21927_time_04_1,LOS_limbs,lh,9.88031784,-3.446420414,10.72518944,5.362594718,9.827527
CS11/CS11_190203_19652_time_03_1,LOS_limbs,lh,13.40857207,0.380600022,7.165376445,3.582688223,18.54501
GEJA09/GEJA09_190921_21343_time_04_1,LOS_limbs,lh,16.50596264,0.634262088,8.734365959,4.367182979,76.87935
MDT09/MDT09_191006_21450_time_03_1,LOS_limbs,lh,10.43354419,-7.936260258,5.558473158,2.779236579,10.45104
DAPA10/DAPA10_190112_19476_time_03_1,LOS_limbs,lh,10.12177147,-8.004761657,6.787173929,3.393586964,9.829786
STM10/STM10_190903_21220_time_03_1,LOS_limbs,lh,8.879888319,1.171164133,11.70915965,5.854579824,10.60037
DAPA10/DAPA10_191012_21490_time_04_1,LOS_limbs,lh,11.18149292,-8.254600929,6.654098618,3.327049309,9.169829
CGSA11/CGSA11_190921_21340_time_04_1,LOS_limbs,lh,8.313980783,-4.647789451,18.47658644,9.238293221,16.49653
OS12/OS12_190725_20947_time_06_1,LOS_limbs,lh,10.91182758,0.361596871,18.7126227,9.35631135,36.43306
CR24,LOS_limbs,lh,12.37150125,-5.033781261,7.277846099,3.638923049,16.67593
CS22,LOS_limbs,lh,9.123205925,-4.238744702,11.27259561,5.636297804,9.129649
EM,LOS_limbs,lh,13.4606244,-3.975903831,10.78000627,5.390003135,15.44381
ES,LOS_limbs,lh,13.07873322,-0.984873321,9.531458059,4.765729029,24.25879
GB23,LOS_limbs,lh,9.143169439,-9.900317969,5.016069412,2.508034706,9.570779
JEW23,LOS_limbs,lh,9.127957498,-3.388858559,15.4316923,7.715846151,20.02842
JP23,LOS_limbs,lh,9.930737252,-5.362482592,11.45039926,5.725199628,18.28049
JW,LOS_limbs,lh,16.14680773,-5.738795755,9.332963723,4.666481862,20.5482
KM25,LOS_limbs,lh,4.221527571,3.246107584,15.39773124,7.698865622,11.97199
MG,LOS_limbs,lh,12.58142921,-0.023887954,12.85583615,6.427918074,18.09987
MJH25,LOS_limbs,lh,13.6491102,5.049867988,6.49615012,3.24807506,12.70162
MN,LOS_limbs,lh,2.24417447,-0.477953382,6.266714469,3.133357234,5.003663
MW23,LOS_limbs,lh,8.380450168,-5.676145098,10.27694137,5.138470685,9.76356
MZ23,LOS_limbs,lh,10.71772165,-4.60289749,9.620011295,4.810005648,12.23387
NAV22,LOS_limbs,lh,14.05747136,-2.536995191,10.59787821,5.298939103,27.07124
NC24,LOS_limbs,lh,11.56377249,-2.776801434,12.74872389,6.374361943,20.91282
SP,LOS_limbs,lh,12.00418285,-0.032050196,13.02502293,6.512511464,15.02928
ST25,LOS_limbs,lh,8.256599734,-3.720140813,8.370799386,4.185399693,9.661021
TH,LOS_limbs,lh,9.166499707,-5.644405201,9.267735842,4.633867921,11.36538
TL24,LOS_limbs,lh,10.12282269,-3.917945133,10.2001466,5.100073302,9.885996
MSH28,LOS_limbs,lh,9.111963293,-3.15569753,12.05951272,6.029756358,8.92045
VN26,LOS_limbs,lh,14.05738089,1.759520425,10.74926266,5.374631329,17.41231
DRS22,LOS_limbs,lh,7.919423867,-0.033026603,13.410301,6.705150501,12.51136
MBA24,LOS_limbs,lh,11.5069462,-0.996401796,8.394858332,4.197429166,11.95232
DF,LOS_limbs,lh,11.13970112,-11.35437584,6.636536368,3.318268184,9.163011
ENK05/ENK05_190317_19993_time_03_1,MOG_places,lh,9.801380079,-2.246032376,10.46706415,5.233532075,8.360678
CLC06/CLC06_190912_21275_time_04_1,MOG_places,lh,5.076870841,-7.302970927,10.50313328,5.251566642,5.700047
ED07/ED07_190914_21286_time_04_1,MOG_places,lh,5.603633781,-1.835259859,6.363424141,3.181712071,6.501936
ENK05/ENK05_191208_21930_time_04_1,MOG_places,lh,4.000421208,-4.630455741,4.754960106,2.377480053,4.394157
INW06/INW06_191103_21656_time_04_1,MOG_places,lh,5.550238961,-4.14610439,10.86098572,5.43049286,5.83709
RJ09/RJ09_190914_21289_time_04_1,MOG_places,lh,6.713327428,-2.225526676,7.249668277,3.624834138,9.723054
AOK07/AOK07_191207_21927_time_04_1,MOG_places,lh,8.071691283,-4.169397243,6.099230353,3.049615177,8.823169
CS11/CS11_190203_19652_time_03_1,MOG_places,lh,5.307566863,-3.10356234,11.81820215,5.909101076,7.40431
GEJA09/GEJA09_190921_21343_time_04_1,MOG_places,lh,6.796076518,5.420014449,3.841531901,1.92076595,10.48336
MDT09/MDT09_191006_21450_time_03_1,MOG_places,lh,6.436199736,-1.556343437,11.05594697,5.527973485,9.240732
DAPA10/DAPA10_190112_19476_time_03_1,MOG_places,lh,4.202788131,-1.609169436,8.01601085,4.008005425,6.672565
STM10/STM10_190903_21220_time_03_1,MOG_places,lh,7.563409378,3.928690208,13.51270847,6.756354233,8.245531
DAPA10/DAPA10_191012_21490_time_04_1,MOG_places,lh,4.87804012,-1.925109864,8.54666094,4.27333047,5.339211
CGSA11/CGSA11_190921_21340_time_04_1,MOG_places,lh,3.48355983,-2.382104118,6.963573103,3.481786551,6.570779
OS12/OS12_190725_20947_time_06_1,MOG_places,lh,5.743798999,0.242540295,10.76561717,5.382808586,7.203132
CS22,MOG_places,lh,6.216660796,-2.55642182,13.57183694,6.785918468,5.44666
EM,MOG_places,lh,4.405032945,-6.450074116,3.769563059,1.884781529,7.709695
ES,MOG_places,lh,6.488604083,-1.955744176,16.1422031,8.071101551,10.16703
GB23,MOG_places,lh,6.719627496,1.456773885,10.11873608,5.059368038,7.880438
JEW23,MOG_places,lh,8.085159051,3.076590191,13.35552722,6.677763608,11.18126
JP23,MOG_places,lh,4.886208137,-4.485425381,5.987586248,2.993793124,6.911652
JW,MOG_places,lh,4.952807953,-4.08487943,2.125445621,1.062722811,3.399493
MG,MOG_places,lh,8.501583443,4.026324274,10.35095026,5.17547513,11.82694
MJH25,MOG_places,lh,5.18448668,1.212342522,6.432734482,3.216367241,7.831476
MN,MOG_places,lh,3.166045027,-2.257227951,6.015222632,3.007611316,4.73677
MW23,MOG_places,lh,6.018571825,-6.444237816,8.905917437,4.452958719,6.314975
MZ23,MOG_places,lh,6.825003359,0.079378327,13.84022471,6.920112356,6.982465
NAV22,MOG_places,lh,5.358160409,-4.264397221,11.41186492,5.705932459,6.957087
NC24,MOG_places,lh,7.032315544,-2.368680913,10.71440106,5.35720053,6.626347
SP,MOG_places,lh,7.126268514,-3.866436188,11.51166488,5.755832439,8.846486
ST25,MOG_places,lh,5.12571254,-4.46308215,12.26204363,6.131021816,6.01588
TH,MOG_places,lh,4.117956579,-2.302727116,10.64074773,5.320373866,6.92952
TL24,MOG_places,lh,7.649239642,-1.78405827,8.241893823,4.120946911,9.627564
MSH28,MOG_places,lh,6.094400623,-2.625532997,7.757685727,3.878842863,5.887675
KG22,MOG_places,lh,6.131514232,-2.881731682,11.2788326,5.639416299,8.146433
VN26,MOG_places,lh,6.304081622,-3.181716547,9.354915121,4.677457561,4.067932
DRS22,MOG_places,lh,6.775909809,-3.365237048,7.193655729,3.596827864,6.345001
MBA24,MOG_places,lh,4.668411896,-2.740896776,10.21146752,5.105733762,4.955592
DF,MOG_places,lh,6.099247219,-3.15097409,11.70550516,5.852752581,5.920168
NC24,mSTS_faces,lh,2.355935989,0.893396335,3.623115273,1.811557637,7.11242
ST25,mSTS_faces,lh,7.912640302,-1.2434087,6.921544267,3.460772133,10.37002
DF,mSTS_faces,lh,0.80162944,-8.457823884,15.25880066,7.629400332,141.1456
DAPA10/DAPA10_190112_19476_time_03_1,STS_faces,lh,10.26712774,-7.299001555,19.75883834,9.879419172,10.08333
EM,STS_faces,lh,8.626963955,1.908534998,15.6580068,7.829003402,8.758835
JP23,STS_faces,lh,13.01794874,-5.653924547,6.941330792,3.470665396,21.96211
JW,STS_faces,lh,12.04111091,1.509882897,14.34443621,7.172218104,35.35701
MG,STS_faces,lh,12.11818662,8.535815861,5.23013909,2.615069545,24.10734
MW23,STS_faces,lh,8.993372227,-4.321581133,9.10667802,4.55333901,14.06559
MZ23,STS_faces,lh,8.050662749,1.212738709,4.812547642,2.406273821,11.46284
NAV22,STS_faces,lh,15.7774377,4.951055097,10.46395716,5.231978579,19.53305
NC24,STS_faces,lh,4.906497537,1.010090115,12.9902682,6.495134102,10.8855
SP,STS_faces,lh,5.641997812,1.9185583,10.87074448,5.435372241,16.07006
ST25,STS_faces,lh,9.097099207,-0.555072869,9.475683871,4.737841936,10.98158
VN26,STS_faces,lh,11.07385561,3.157086967,8.828419954,4.414209977,13.86523
MBA24,STS_faces,lh,14.13179086,3.623296468,8.509288206,4.254644103,11.59386
DF,STS_faces,lh,0.80162944,-8.457823884,15.25880066,7.629400332,141.1456
EM,IOG_faces,mh,NA,NA,NA,NA,NA
EM,IPS_places,mh,NA,NA,NA,NA,NA
EM,IPSl_places,mh,NA,NA,NA,NA,NA
EM,IPSm_places,mh,NA,NA,NA,NA,NA
EM,ITG_limbs,mh,NA,NA,NA,NA,NA
EM,LOS_limbs,mh,NA,NA,NA,NA,NA
EM,MOG_places,mh,NA,NA,NA,NA,NA
EM,mSTS_faces,mh,NA,NA,NA,NA,NA
EM,MTG_limbs,mh,NA,NA,NA,NA,NA
EM,pSTS_faces,mh,NA,NA,NA,NA,NA
EM,STS_faces,mh,NA,NA,NA,NA,NA
ENK05/ENK05_190317_19993_time_03_1,IOG_faces,rh,-4.028723933,-1.112266021,1.928860609,0.964430304,10.51259
ED07/ED07_190914_21286_time_04_1,IOG_faces,rh,-2.761313774,-1.702107814,1.604666147,0.802333074,7.022344
ENK05/ENK05_191208_21930_time_04_1,IOG_faces,rh,-1.420688496,-4.754058092,5.01610172,2.50805086,9.447061
RJ09/RJ09_190914_21289_time_04_1,IOG_faces,rh,-7.481898063,-0.364035453,7.469029095,3.734514548,12.56669
AOK07/AOK07_191207_21927_time_04_1,IOG_faces,rh,-2.938224735,-2.434249127,4.441126047,2.220563023,7.096553
CS11/CS11_190203_19652_time_03_1,IOG_faces,rh,-1.751890967,-2.079935634,5.344458198,2.672229099,8.007468
GEJA09/GEJA09_190921_21343_time_04_1,IOG_faces,rh,-0.38489835,-3.541543326,4.078024069,2.039012035,7.963175
MDT09/MDT09_191006_21450_time_03_1,IOG_faces,rh,-2.856029962,-3.170916808,6.754926,3.377463,10.11277
STM10/STM10_190903_21220_time_03_1,IOG_faces,rh,-1.073381387,-0.100701504,2.132216581,1.06610829,6.472067
CGSA11/CGSA11_190921_21340_time_04_1,IOG_faces,rh,-6.606455326,-1.90612634,4.893777185,2.446888593,9.531842
OS12/OS12_190725_20947_time_06_1,IOG_faces,rh,-1.631526466,3.698527148,4.266056024,2.133028012,5.842284
CR24,IOG_faces,rh,-3.850118125,-1.759190852,9.920199742,4.960099871,9.293435
CS22,IOG_faces,rh,0.778483555,-0.140834308,2.347410469,1.173705235,2.857092
EM,IOG_faces,rh,-1.479244454,-1.759178256,3.663529176,1.831764588,3.87242
ES,IOG_faces,rh,-7.764273235,4.067203579,8.013906937,4.006953468,15.49025
