Session,Hemi,ROI,nrAdultFaces,meanAdultFaces,nrChildFaces,meanChildFaces,nrNoHeadBody,meanNoHeadBody,nrLimbs,meanLimbs,nrCars,meanCars,nrGuitars,meanGuitars,nrCorridors,meanCorridors,nrHouses,meanHouses,nrWords,meanWords,nrNumber,meanNumber,nrFaces,meanFaces,nrBodies,meanBodies,nrObjects,meanObjects,nrPlaces,meanPlaces,nrChars,meanChars
OS12_190724_time_06_1,lh,MTG_limbs_toon_JC_10mm,0,-0.692215255,1,-0.314211487,3,0.41077912,12,0.370040902,0,-0.099420734,0,0.234517741,0,0.060066124,0,0.120863412,0,0.047674433,0,-0.142742225,2,-0.650569271,9,0.525608925,0,0.061050424,0,0.121808767,0,-0.063229131
CS22_190217_time_03_1,lh,MTG_limbs_toon_JC_10mm,3,0.474033631,1,-0.79478988,47,2.894497857,45,2.910610903,0,-1.261427826,0,0.202971631,0,-1.354248322,0,-0.7853889,5,-0.181720853,0,-1.250428173,2,-0.315362572,70,3.933522529,0,-0.860345863,0,-1.456694679,0,-0.974240721
em_050317,lh,MTG_limbs_toon_JC_10mm,12,1.024883628,0,-0.925219375,0,-0.165108012,29,3.172492643,0,0.058460967,0,-0.662417896,0,-0.724406197,0,-0.372431659,0,-0.386598133,0,-1.070120612,6,0.068269438,21,2.115249321,0,-0.4180693,0,-0.766240414,0,-1.013818772
NAV22_181218_time_03_1,lh,MTG_limbs_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB23_190117_time_03_1,lh,MTG_limbs_toon_JC_10mm,0,-0.89351651,0,-0.122802116,27,2.177168661,40,2.756637189,0,-1.071286595,0,-0.579456227,0,-2.706544991,0,-1.884889374,15,1.135000577,17,1.424392694,0,-0.626718262,49,3.388916006,0,-1.174010823,0,-3.120889827,20,1.760626047
JEW23_181211_time_03_1,lh,MTG_limbs_toon_JC_10mm,0,-2.342100079,0,-1.655937914,18,1.815129488,36,3.12773261,0,-0.960933572,0,-0.323210956,0,-0.417713474,0,-1.077719324,1,0.386642014,0,1.302377806,0,-2.647795367,37,3.454379629,0,-0.937169127,0,-1.004801026,6,1.153141164
JP23_170111_time_02_1,lh,MTG_limbs_toon_JC_10mm,0,-0.007214512,0,0.076674012,4,0.51940955,0,-0.087517298,0,0.204441864,0,-0.310054236,0,-0.439738822,0,0.402294412,1,-0.253739037,0,-0.042662544,0,0.053450604,1,0.243435985,0,-0.023999943,0,-0.035964808,0,-0.206849296
MW23_190306_time_03_1,lh,MTG_limbs_toon_JC_10mm,0,-0.659261704,3,0.716787259,13,0.900590061,26,2.884896864,0,-1.264276069,0,-0.188792359,0,-1.68699637,0,-1.246861234,1,-0.143722293,1,0.801834333,2,0.145856225,27,2.724763859,0,-1.093578441,0,-1.993133338,2,0.442204888
MZ190410,lh,MTG_limbs_toon_JC_10mm,0,-0.957276155,3,0.313618071,3,0.255508848,25,1.767383525,0,0.3204253,0,-0.660903522,0,-0.747603377,0,-1.318153852,4,0.629940651,2,0.142641097,1,-0.346445355,21,1.497752892,0,-0.143314056,0,-1.400140811,4,0.543263279
CR24_181106_time_03_2,lh,MTG_limbs_toon_JC_10mm,0,-0.172148394,0,-0.157949903,27,2.226117803,45,2.868485792,0,0.019908596,0,0.1333583,0,-1.577894004,0,-1.262776352,0,-0.091552086,0,-1.450654191,0,-0.221916353,58,3.50292607,0,0.094107702,0,-1.92842857,0,-1.046594861
NC24_190217_time_03_1,lh,MTG_limbs_toon_JC_10mm,6,0.561878256,19,1.734477424,36,3.61158714,23,2.014647486,1,-0.176621658,0,-1.312068006,0,-1.503145345,0,-2.182347481,0,-1.659563073,1,-0.3666937,22,1.64263125,41,3.681821333,0,-0.910936717,0,-2.488254544,0,-1.412248877
TL24_190428_time_03_1,lh,MTG_limbs_toon_JC_10mm,0,-1.29707067,0,-0.027067802,32,3.002575019,29,2.96209311,0,-1.460302754,0,-0.243934992,0,-2.404195977,0,-0.36660276,0,-0.227620402,3,0.516968458,0,-0.795866048,43,4.037023623,0,-1.278393837,0,-1.902771051,5,0.190451874
