param,ROI,hemi,ROIs_set,stream,nVox_boot,nBoot,KS_original,KS_effect_mean,KS_effect_CI_low,KS_effect_CI_high,KS_boot_std,p_value_KS_bootstrap,p_value_KS_CI_low,p_value_KS_CI_high,p_thresh_stream,sig_stream_corrected
size,lh.MOG_places_toon_JC.mat,lh,toon_JC,lateraldorsal,500,10000,0.0231885548976734,0.0585106000000004,0.0319999999999999,0.102,0.0183060099049428,0.990950904909509,0.989003960959653,0.992712008492892,0.0042,0
size,lh.MTG_limbs_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,205,10000,0.126820053181447,0.155669268292682,0.0780487804878049,0.239024390243902,0.0406618180904542,0.673182681731827,0.663957827331134,0.682341930371233,0.0042,0
size,lh.OTS_bodies_toon.mat,lh,toon,ventral,52,10000,0.0946592252537194,0.198692307692304,0.0961538461538462,0.326923076923077,0.0578526010628859,0.980651934806519,0.977862649244575,0.983259201040498,0.0038,0
size,lh.mFus_faces_toon.mat,lh,toon,ventral,124,10000,0.181548936382772,0.219574999999999,0.120967741935484,0.32258064516129,0.0516653835027977,0.522597740225977,0.51280483931524,0.532382080536643,0.0038,0
size,lh.mOTS_words_toon.mat,lh,toon,ventral,71,10000,0.180357565711579,0.234902816901409,0.140845070422535,0.352112676056338,0.0554028504741484,0.835066493350665,0.82773028859885,0.842275769342367,0.0038,0
size,lh.pFus_faces_toon.mat,lh,toon,ventral,156,10000,0.217888363457238,0.249076282051282,0.153846153846154,0.352564102564103,0.0497371275976754,0.140835916408359,0.134087246579652,0.147720642582619,0.0038,0
size,lh.pOTS_words_toon.mat,lh,toon,ventral,364,10000,0.231805601588637,0.245954120879121,0.178571428571429,0.310439560439561,0.0340698812709459,0.00034996500349965,8.45004521430083e-05,0.000800417811080366,0.0038,1
size,lh.pSTS_faces_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.0738714847256436,0.172172000000001,0.1,0.3,0.0535676148893759,0.995950404959504,0.994614709280501,0.997098554463997,0.0042,0
size,rh.CoS_places_toon.mat,rh,toon,ventral,332,10000,0.112872220087825,0.132753614457832,0.072289156626506,0.201807228915663,0.0333087759568578,0.562593740625937,0.552860340922229,0.572303428234487,0.0038,0
size,rh.IOG_faces_toon_JC.mat,rh,toon_JC,ventral,169,10000,0.179565492270515,0.197994674556214,0.118343195266272,0.284023668639053,0.0426108115759954,0.456404359564044,0.446651303060433,0.466173931204948,0.0038,0
size,rh.IPS_places_toon_JC.mat,rh,toon_JC,lateraldorsal,489,10000,0.191793457149596,0.204531492842536,0.149284253578732,0.261758691206544,0.028797353827152,0.00024997500249975,4.15628342951772e-05,0.000641467400929573,0.0042,1
