sub,group,age,hemi,ROI,ROItype,category,stream,meanT,catSelectivity
ENK05_181201_time_03_1,kids,10,lh,CoS_places,category,place,ventral,2.270646293,Places
ENK05_181201_time_03_1,kids,10,lh,IPS_places,category,place,dorsal,6.25700871,Places
ENK05_181201_time_03_1,kids,10,lh,ITG_limbs,category,bodies,lateral,2.115683852,Bodies
ENK05_181201_time_03_1,kids,10,lh,LOS_limbs,category,bodies,lateral,6.604559986,Bodies
ENK05_181201_time_03_1,kids,10,lh,MOG_places,category,place,dorsal,5.790637834,Places
ENK05_181201_time_03_1,kids,10,lh,mOTS_words,category,words,ventral,1.802708063,Words
ENK05_181201_time_03_1,kids,10,lh,MTG_limbs,category,bodies,lateral,-0.6770763,Bodies
ENK05_181201_time_03_1,kids,10,lh,pFus_faces,category,face,ventral,0.476588072,Faces
ENK05_181201_time_03_1,kids,10,lh,pOTS_words,category,words,ventral,3.087209392,Words
ENK05_181201_time_03_1,kids,10,lh,pSTS_faces,category,face,lateral,0.0356546,Faces
ENK05_190203_time_03_2,kids,11,lh,CoS_places,category,place,ventral,2.270094104,Places
ENK05_190203_time_03_2,kids,11,lh,IPS_places,category,place,dorsal,5.441160969,Places
ENK05_190203_time_03_2,kids,11,lh,ITG_limbs,category,bodies,lateral,1.3139799,Bodies
ENK05_190203_time_03_2,kids,11,lh,LOS_limbs,category,bodies,lateral,7.029875291,Bodies
ENK05_190203_time_03_2,kids,11,lh,mFus_faces,category,face,ventral,2.107342451,Faces
ENK05_190203_time_03_2,kids,11,lh,MOG_places,category,place,dorsal,2.996125422,Places
ENK05_190203_time_03_2,kids,11,lh,MTG_limbs,category,bodies,lateral,-0.370621,Bodies
ENK05_190203_time_03_2,kids,11,lh,OTS_bodies,category,bodies,ventral,1.329094871,Bodies
ENK05_190203_time_03_2,kids,11,lh,pFus_faces,category,face,ventral,1.280427983,Faces
ENK05_190203_time_03_2,kids,11,lh,pOTS_words,category,words,ventral,2.419951882,Words
ENK05_190203_time_03_2,kids,11,lh,pSTS_faces,category,face,lateral,1.19200755,Faces
es103118,adults,28,lh,CoS_places,category,place,ventral,0.927864918,Places
es103118,adults,28,lh,IOG_faces,category,face,ventral,-0.557686788,Faces
es103118,adults,28,lh,IPS_places,category,place,dorsal,2.18210254,Places
es103118,adults,28,lh,LOS_limbs,category,bodies,lateral,-1.970857012,Bodies
es103118,adults,28,lh,mFus_faces,category,face,ventral,0.828767246,Faces
es103118,adults,28,lh,MOG_places,category,place,dorsal,1.343236741,Places
es103118,adults,28,lh,MTG_limbs,category,bodies,lateral,1.84977285,Bodies
es103118,adults,28,lh,OTS_bodies,category,bodies,ventral,1.139742702,Bodies
es103118,adults,28,lh,pFus_faces,category,face,ventral,0.187019286,Faces
es103118,adults,28,lh,pSTS_faces,category,face,lateral,3.43690604,Faces
GB23_190117_time_03_1,adults,23,lh,CoS_places,category,place,ventral,1.980211776,Places
GB23_190117_time_03_1,adults,23,lh,ITG_limbs,category,bodies,lateral,1.874399922,Bodies
GB23_190117_time_03_1,adults,23,lh,LOS_limbs,category,bodies,lateral,1.598515853,Bodies
GB23_190117_time_03_1,adults,23,lh,MOG_places,category,place,dorsal,2.556714695,Places
GB23_190117_time_03_1,adults,23,lh,mOTS_words,category,words,ventral,2.441206142,Words
GB23_190117_time_03_1,adults,23,lh,MTG_limbs,category,bodies,lateral,0.12420917,Bodies
GB23_190117_time_03_1,adults,23,lh,pOTS_words,category,words,ventral,1.613960363,Words
GB23_190117_time_03_1,adults,23,lh,pSTS_faces,category,face,lateral,0.29135269,Faces
GEJA09_190921_time_04_1,kids,14,lh,CoS_places,category,place,ventral,1.46815517,Places
GEJA09_190921_time_04_1,kids,14,lh,IOG_faces,category,face,ventral,-0.301126817,Faces
GEJA09_190921_time_04_1,kids,14,lh,IPS_places,category,place,dorsal,3.045359781,Places
GEJA09_190921_time_04_1,kids,14,lh,ITG_limbs,category,bodies,lateral,3.639973402,Bodies
GEJA09_190921_time_04_1,kids,14,lh,LOS_limbs,category,bodies,lateral,2.106610546,Bodies
GEJA09_190921_time_04_1,kids,14,lh,mFus_faces,category,face,ventral,0.707456636,Faces
GEJA09_190921_time_04_1,kids,14,lh,MOG_places,category,place,dorsal,0.811732778,Places
GEJA09_190921_time_04_1,kids,14,lh,MTG_limbs,category,bodies,lateral,2.2870779,Bodies
GEJA09_190921_time_04_1,kids,14,lh,OTS_bodies,category,bodies,ventral,1.329775676,Bodies
GEJA09_190921_time_04_1,kids,14,lh,pFus_faces,category,face,ventral,1.992814092,Faces
GEJA09_190921_time_04_1,kids,14,lh,pOTS_words,category,words,ventral,3.802888492,Words
GEJA09_190921_time_04_1,kids,14,lh,pSTS_faces,category,face,lateral,0.11894662,Faces
INW06_191006_time_04_1,kids,12,lh,CoS_places,category,place,ventral,2.457359743,Places
INW06_191006_time_04_1,kids,12,lh,IPS_places,category,place,dorsal,3.680240936,Places
INW06_191006_time_04_1,kids,12,lh,ITG_limbs,category,bodies,lateral,3.320289109,Bodies
INW06_191006_time_04_1,kids,12,lh,LOS_limbs,category,bodies,lateral,3.541883982,Bodies
INW06_191006_time_04_1,kids,12,lh,mFus_faces,category,face,ventral,-0.481039096,Faces
INW06_191006_time_04_1,kids,12,lh,MOG_places,category,place,dorsal,4.112121389,Places
INW06_191006_time_04_1,kids,12,lh,mOTS_words,category,words,ventral,2.427630304,Words
INW06_191006_time_04_1,kids,12,lh,MTG_limbs,category,bodies,lateral,2.14289704,Bodies
INW06_191006_time_04_1,kids,12,lh,pFus_faces,category,face,ventral,-1.299798398,Faces
INW06_191006_time_04_1,kids,12,lh,pOTS_words,category,words,ventral,2.665384726,Words
INW06_191006_time_04_1,kids,12,lh,pSTS_faces,category,face,lateral,-0.9979327,Faces
JEW23_181211_time_03_1,adults,23,lh,CoS_places,category,place,ventral,3.549561926,Places
JEW23_181211_time_03_1,adults,23,lh,IOG_faces,category,face,ventral,0.613183288,Faces
JEW23_181211_time_03_1,adults,23,lh,IPS_places,category,place,dorsal,4.014401472,Places
JEW23_181211_time_03_1,adults,23,lh,ITG_limbs,category,bodies,lateral,3.882121031,Bodies
JEW23_181211_time_03_1,adults,23,lh,LOS_limbs,category,bodies,lateral,4.904820694,Bodies
JEW23_181211_time_03_1,adults,23,lh,mFus_faces,category,face,ventral,1.333840907,Faces
JEW23_181211_time_03_1,adults,23,lh,MOG_places,category,place,dorsal,4.189293352,Places
JEW23_181211_time_03_1,adults,23,lh,MTG_limbs,category,bodies,lateral,2.46215077,Bodies
JEW23_181211_time_03_1,adults,23,lh,OTS_bodies,category,bodies,ventral,2.141877211,Bodies
JEW23_181211_time_03_1,adults,23,lh,pFus_faces,category,face,ventral,0.727090569,Faces
JEW23_181211_time_03_1,adults,23,lh,pOTS_words,category,words,ventral,2.649169782,Words
JEW23_181211_time_03_1,adults,23,lh,pSTS_faces,category,face,lateral,0.80366744,Faces
JP23_170111_time_02_1,adults,23,lh,CoS_places,category,place,ventral,-0.428944359,Places
JP23_170111_time_02_1,adults,23,lh,IOG_faces,category,face,ventral,0.106868504,Faces
JP23_170111_time_02_1,adults,23,lh,IPS_places,category,place,dorsal,-0.289608949,Places
JP23_170111_time_02_1,adults,23,lh,ITG_limbs,category,bodies,lateral,0.347950177,Bodies
JP23_170111_time_02_1,adults,23,lh,LOS_limbs,category,bodies,lateral,0.879614651,Bodies
JP23_170111_time_02_1,adults,23,lh,mFus_faces,category,face,ventral,-0.183640167,Faces
JP23_170111_time_02_1,adults,23,lh,MOG_places,category,place,dorsal,-0.678858123,Places
